name,rating,good.maven,good.pop,good.conn,good.random,bad.maven,bad.pop,bad.conn,bad.random,review.count,good.review.count,bad.review.count,good.maven.count,good.pop.count,good.conn.count,good.random.count,bad.maven.count,bad.pop.count,bad.conn.count,bad.random.count
Phoenix Sky Harbor International Airport,3.5,80,64,80,56,28,28,48,48,1512,649,304,75,75,75,75,75,75,75,75
Pho Kim Long,3.5,72,68,84,68,36,60,56,48,1514,774,282,75,75,75,75,75,75,75,75
Hooters Casino Hotel,2.5,44,48,56,56,64,64,56,72,770,168,386,71,75,75,75,71,75,75,75
McCarran International Airport,3.5,72,68,64,64,0,52,56,48,2201,865,384,75,75,75,75,75,75,75,75
Golden Nugget Hotel & Casino,3.5,76,68,80,80,32,60,56,64,989,560,216,75,75,75,75,75,75,75,75
Rio All Suites Hotel & Casino,3,68,60,68,64,32,40,44,52,1106,393,315,75,75,75,75,75,75,75,75
Excalibur Hotel,2.5,40,36,36,72,48,44,56,64,1428,334,549,75,75,75,75,75,75,75,75
Harrah's Las Vegas Hotel & Casino,3,72,68,76,76,40,44,36,52,685,202,210,75,75,75,75,75,75,75,75
Circus Circus Las Vegas Hotel and Casino,2.5,24,36,32,68,68,64,64,68,1055,212,533,75,75,75,75,75,75,75,75
Wynn Las Vegas,4,80,76,80,76,0,17.64705882,20,44,1661,1145,170,75,75,75,75,75,75,75,75
Pizzeria Bianco,4,80,72,80,68,28,28,48,52,1453,937,194,75,75,75,75,75,75,75,75
Stratosphere,3,72,64,64,72,56,56,52,60,872,267,267,75,75,75,75,75,75,75,75
Lotus of Siam,4,84,68,84,76,44,40,60,24,2063,1510,153,75,75,75,75,75,75,75,75
Burger Bar,4,80,72,68,72,0,36,36,44,1986,1268,197,75,75,75,75,75,75,75,75
Mesa Grill,4,80,76,80,80,20,28,28,56,2143,1442,246,75,75,75,75,75,75,75,75
Palms Casino Resort,3.5,80,76,84,64,32,36,28,48,745,344,182,75,75,75,75,75,75,75,75
Bellagio Hotel,4,68,72,80,64,0,0,12.5,52,1710,1118,196,75,75,75,75,75,75,75,75
New York - New York,3.5,72,64,68,64,36,36,36,36,1080,492,203,75,75,75,75,75,75,75,75
LVH - Las Vegas Hotel & Casino,2.5,56,56,76,56,64,64,68,80,938,226,410,75,75,75,75,75,75,75,75
Paris Las Vegas Hotel & Casino,3,76,60,72,72,16,28,44,60,1282,532,305,75,75,75,75,75,75,75,75
Monte Carlo Hotel And Casino,3,60,64,64,68,52,52,68,60,1368,383,381,75,75,75,75,75,75,75,75
The Venetian Resort Hotel Casino,4,80,64,72,72,6.25,20,24,44,2079,1433,221,75,75,75,75,75,75,75,75
The Mirage,3.5,84,76,80,88,20,44,56,40,1172,675,174,75,75,75,75,75,75,75,75
MGM Grand Hotel,3.5,64,68,72,80,28,44,56,44,2051,905,464,75,75,75,75,75,75,75,75
"Treasure Island, LLC",3,68,76,72,80,16,44,40,52,1436,641,327,75,75,75,75,75,75,75,75
Imperial Palace Hotel & Casino,2.5,60,48,60,64,56,60,60,68,780,163,366,75,75,75,75,75,75,75,75
Mon Ami Gabi,4,76,48,76,76,16,24,32,32,4578,3367,307,75,75,75,75,75,75,75,75
Flamingo Las Vegas Hotel & Casino,3,68,68,68,72,52,48,48,64,1537,476,577,75,75,75,75,75,75,75,75
Luxor Hotel And Casino Las Vegas,2.5,56,40,44,72,52,68,64,60,2127,507,828,75,75,75,75,75,75,75,75
Mandalay Bay Resort & Casino,3.5,72,68,64,72,32,40,40,52,1530,833,307,75,75,75,75,75,75,75,75
Tom Colicchio's Craftsteak,4,84,84,80,72,0,36,36,48,1531,1046,174,75,75,75,75,75,75,75,75
Bouchon Bistro,4,88,76,88,80,0,24,16.66666667,44,2593,1735,259,75,75,75,75,75,75,75,75
Pure,3,60,72,64,76,64,64,68,52,945,301,296,75,75,75,75,75,75,75,75
The Buffet at Bellagio,3.5,76,84,76,72,20,40,40,64,2583,1339,414,75,75,75,75,75,75,75,75
Spice Market Buffet,3,84,80,76,64,48,60,56,64,1163,439,316,75,75,75,75,75,75,75,75
Tao Nightclub,3,68,68,76,68,48,60,64,56,1872,778,500,75,75,75,75,75,75,75,75
KÀ by Cirque Du Soleil,4,84,72,76,72,28,36,40,60,1295,789,167,75,75,75,75,75,75,75,75
The Buffet,3.5,84,68,68,72,24,48,44,60,2949,1680,426,75,75,75,75,75,75,75,75
Carnival World Buffet,3.5,80,76,76,72,0,44,48,40,1176,607,225,75,75,75,75,75,75,75,75
Le Village Buffet,3.5,68,60,68,76,44,60,64,56,1424,667,296,75,75,75,75,75,75,75,75
The Bank,3,68,80,76,68,60,72,56,72,630,217,219,75,75,75,75,75,75,75,75
Village Seafood Buffet,3.5,68,68,68,80,56,64,68,64,693,310,172,75,75,75,75,75,75,75,75
Hash House A Go Go,4,60,64,68,60,40,40,48,44,2395,1534,346,75,75,75,75,75,75,75,75
Tao Asian Bistro,3.5,64,64,68,72,33.33333333,36,48,52,892,483,159,75,75,75,75,75,75,75,75
Cravings Buffet at Mirage,3.5,72,72,76,76,60,60,56,68,729,336,161,75,75,75,75,75,75,75,75
Bayside Buffet at Mandalay Bay,3,68,72,76,72,40,40,60,56,605,199,186,65,75,75,75,65,75,75,75
