"name","rating","good.maven","good.pop","good.conn","good.random","bad.maven","bad.pop","bad.conn","bad.random","review.count","good.review.count","bad.review.count","good.maven.count","good.pop.count","good.conn.count","good.random.count","bad.maven.count","bad.pop.count","bad.conn.count","bad.random.count"
"Lotus of Siam",4,80,60,80,72,44,40,60,64,2063,1510,153,75,75,75,75,75,75,75,75
"LVH - Las Vegas Hotel & Casino",2.5,56,56,76,68,64,64,68,60,938,226,410,75,75,75,75,75,75,75,75
"Imperial Palace Hotel & Casino",2.5,60,48,60,56,56,60,60,60,780,163,366,75,75,75,75,75,75,75,75
"ARIA Hotel & Casino",3.5,84,76,76,76,0,48,36,60,2440,1398,448,75,75,75,75,75,75,75,75
"Bachi Burger",4,80,84,76,72,44,28,52,44,1930,1399,171,75,75,75,75,75,75,75,75
"The Mirage",3.5,88,80,84,80,20,44,56,48,1172,675,174,75,75,75,75,75,75,75,75
"Burger Bar",4,80,68,72,76,0,36,36,44,1986,1268,197,75,75,75,75,75,75,75,75
"Bacchanal Buffet",4,76,76,72,80,0,16,16,64,3046,1849,405,75,75,75,75,75,75,75,75
"Tao Nightclub",3,76,68,80,76,48,60,64,64,1872,778,500,75,75,75,75,75,75,75,75
"The Buffet at ARIA",3,72,68,72,60,68,60,60,60,1125,424,328,75,75,75,75,75,75,75,75
"Harrah's Las Vegas Hotel & Casino",3,72,68,76,72,40,44,36,56,685,202,210,75,75,75,75,75,75,75,75
"Sugar Factory",3,68,72,68,68,56,60,64,64,769,328,197,75,75,75,75,75,75,75,75
"Phoenix Sky Harbor International Airport",3.5,80,68,80,68,28,28,48,64,1512,649,304,75,75,75,75,75,75,75,75
"Gordon Ramsay Pub & Grill",3,64,64,60,64,44,52,48,60,1052,406,362,75,75,75,75,75,75,75,75
"Bayside Buffet at Mandalay Bay",3,68,72,76,72,40,40,60,72,605,199,186,65,75,75,75,65,75,75,75
"China Poblano",3,72,72,72,56,52,60,72,56,835,321,268,75,75,75,75,75,75,75,75
"Bellagio Hotel",4,68,72,76,68,0,0,12.5,40,1710,1118,196,75,75,75,75,75,75,75,75
"LAVO Italian Restaurant & Lounge",3.5,68,60,76,72,0,28,36,60,1069,546,200,75,75,75,75,75,75,75,75
"Wynn Las Vegas",4,68,68,72,80,0,17.6470588235294,20,32,1661,1145,170,75,75,75,75,75,75,75,75
"Hash House A Go Go",4,80,72,68,52,48,48,64,52,2110,1300,265,75,75,75,75,75,75,75,75
"Mesa Grill",4,76,76,76,76,20,28,28,64,2143,1442,246,75,75,75,75,75,75,75,75
"The New Tropicana Las Vegas",3,48,72,72,68,40,28,44,60,850,277,292,68,75,75,75,68,75,75,75
"Pho Kim Long",3.5,68,64,80,68,36,60,56,48,1514,774,282,75,75,75,75,75,75,75,75
"Treasure Island, LLC",3,68,76,72,76,16,44,40,68,1436,641,327,75,75,75,75,75,75,75,75
"Rio All Suites Hotel & Casino",3,68,60,68,68,32,40,44,56,1106,393,315,75,75,75,75,75,75,75,75
"Stratosphere",3,72,64,64,64,56,56,52,72,872,267,267,75,75,75,75,75,75,75,75
"BLT Burger",3.5,64,72,64,80,8,40,36,48,908,430,165,75,75,75,75,75,75,75,75
"Marquee Nightclub & Dayclub",3.5,84,76,80,76,32,56,64,64,1701,931,347,75,75,75,75,75,75,75,75
"Bally's Las Vegas Hotel & Casino",3,60,68,68,76,32,52,48,60,858,337,193,75,75,75,75,75,75,75,75
"Gordon Ramsay BurGR",4,80,76,72,64,40,48,52,52,2537,1571,336,75,75,75,75,75,75,75,75
"Carnival World Buffet",3.5,80,76,76,64,0,44,48,48,1176,607,225,75,75,75,75,75,75,75,75
"Trump Hotel",4,72,72,72,88,25,36,36,56,1086,676,153,75,75,75,75,75,75,75,75
"Holsteins Shakes and Buns",4,76,64,60,72,24,48,64,40,1757,1099,183,75,75,75,75,75,75,75,75
"The Venetian Resort Hotel Casino",4,68,68,68,64,6.25,20,24,44,2079,1433,221,75,75,75,75,75,75,75,75
"Hard Rock Hotel & Casino",3,80,84,84,72,20,36,52,60,1270,580,353,75,75,75,75,75,75,75,75
"Mon Ami Gabi",4,84,52,84,80,16,24,32,40,4578,3367,307,75,75,75,75,75,75,75,75
"Excalibur Hotel",2.5,40,36,36,72,48,44,52,68,1428,334,549,75,75,75,75,75,75,75,75
"Cravings Buffet at Mirage",3.5,72,72,76,84,60,60,56,52,729,336,161,75,75,75,75,75,75,75,75
"Circus Circus Las Vegas Hotel and Casino",2.5,24,36,32,56,72,64,64,60,1055,212,533,75,75,75,75,75,75,75,75
"Paris Las Vegas Hotel & Casino",3,76,60,76,68,16,28,44,60,1282,532,305,75,75,75,75,75,75,75,75
"The Cosmopolitan of Las Vegas",4,80,72,84,68,24,36,32,48,2510,1682,356,75,75,75,75,75,75,75,75
"Palms Casino Resort",3.5,80,76,84,80,32,36,28,64,745,344,182,75,75,75,75,75,75,75,75
"Serendipity 3",3,68,48,64,60,48,56,60,44,3007,1097,834,75,75,75,75,75,75,75,75
"Le Village Buffet",3.5,72,68,68,72,44,60,64,56,1424,667,296,75,75,75,75,75,75,75,75
"Cabo Wabo Cantina",3,56,68,60,60,52,72,72,56,560,191,207,36,75,75,75,36,75,75,75
"Pizzeria Bianco",4,72,72,76,68,28,28,48,64,1453,937,194,75,75,75,75,75,75,75,75
"Gordon Ramsay Steak",4,92,80,92,80,32,25,36,44,1542,1095,157,75,75,75,75,75,75,75,75
"Hakkasan Nightclub",2.5,76,68,76,64,64,60,76,72,900,284,358,75,75,75,75,75,75,75,75
"Wicked Spoon",3.5,80,76,76,60,24,20,48,40,3828,2186,511,75,75,75,75,75,75,75,75
"Hash House A Go Go",4,60,56,60,64,40,40,48,56,2395,1534,346,75,75,75,75,75,75,75,75
