"","name","rating","good.maven","good.pop","good.conn","good.random","bad.maven","bad.pop","bad.conn","bad.random","review.count","good.review.count","bad.review.count","good.maven.count","good.pop.count","good.conn.count","good.random.count","bad.maven.count","bad.pop.count","bad.conn.count","bad.random.count"
"1","Phoenix Sky Harbor International Airport",3.5,80,64,80,56,28,28,48,48,1512,649,304,576,1354,836,1354,576,1354,836,1354
"6","Rio All Suites Hotel & Casino",3,68,60,68,64,32,40,44,52,1106,393,315,165,964,275,964,165,964,275,964
"8","Harrah's Las Vegas Hotel & Casino",3,72,68,76,76,40,44,36,52,685,202,210,90,609,169,609,90,609,169,609
"9","Circus Circus Las Vegas Hotel and Casino",2.5,24,36,32,68,68,64,64,68,1055,212,533,89,926,177,926,89,926,177,926
"10","Wynn Las Vegas",4,80,76,80,76,0,17.64705882,20,44,1661,1145,170,423,1426,596,1426,423,1426,596,1426
"13","Lotus of Siam",4,84,68,84,76,44,40,60,24,2063,1510,153,455,1879,697,1879,455,1879,697,1879
"14","Burger Bar",4,80,72,68,72,0,36,36,44,1986,1268,197,413,1782,641,1782,413,1782,641,1782
"15","Mesa Grill",4,80,76,80,80,20,28,28,56,2143,1442,246,372,1932,621,1932,372,1932,621,1932
"16","Palms Casino Resort",3.5,80,76,84,64,32,36,28,48,745,344,182,144,663,234,663,144,663,234,663
"17","Bellagio Hotel",4,68,72,80,64,0,0,12.5,52,1710,1118,196,392,1504,583,1504,392,1504,583,1504
"18","New York - New York",3.5,72,64,68,64,36,36,36,36,1080,492,203,187,939,317,939,187,939,317,939
"19","LVH - Las Vegas Hotel & Casino",2.5,56,56,76,56,64,64,68,80,938,226,410,80,845,154,845,80,845,154,845
"21","Monte Carlo Hotel And Casino",3,60,64,64,68,52,52,68,60,1368,383,381,231,1189,347,1189,231,1189,347,1189
"22","The Venetian Resort Hotel Casino",4,80,64,72,72,6.25,20,24,44,2079,1433,221,652,1841,866,1841,652,1841,866,1841
"24","MGM Grand Hotel",3.5,64,68,72,80,28,44,56,44,2051,905,464,442,1823,717,1823,442,1823,717,1823
"25","Treasure Island, LLC",3,68,76,72,80,16,44,40,52,1436,641,327,229,1261,406,1261,229,1261,406,1261
"26","Imperial Palace Hotel & Casino",2.5,60,48,60,64,56,60,60,68,780,163,366,131,712,249,712,131,712,249,712
"27","Mon Ami Gabi",4,76,48,76,76,16,24,32,32,4578,3367,307,919,4137,1409,4137,919,4137,1409,4137
"28","Flamingo Las Vegas Hotel & Casino",3,68,68,68,72,52,48,48,64,1537,476,577,186,1402,337,1402,186,1402,337,1402
"31","Tom Colicchio's Craftsteak",4,84,84,80,72,0,36,36,48,1531,1046,174,241,1395,401,1395,241,1395,401,1395
"32","Bouchon Bistro",4,88,76,88,80,0,24,16.66666667,44,2593,1735,259,639,2337,991,2337,639,2337,991,2337
"33","Pure",3,60,72,64,76,64,64,68,52,945,301,296,214,834,408,834,214,834,408,834
"35","Spice Market Buffet",3,84,80,76,64,48,60,56,64,1163,439,316,191,1032,328,1032,191,1032,328,1032
"36","Tao Nightclub",3,68,68,76,68,48,60,64,56,1872,778,500,606,1681,942,1681,606,1681,942,1681
"39","Carnival World Buffet",3.5,80,76,76,72,0,44,48,40,1176,607,225,245,1052,413,1052,245,1052,413,1052
"41","The Bank",3,68,80,76,68,60,72,56,72,630,217,219,96,551,190,551,96,551,190,551
"42","Village Seafood Buffet",3.5,68,68,68,80,56,64,68,64,693,310,172,78,608,169,608,78,608,169,608
"43","Hash House A Go Go",4,60,64,68,60,40,40,48,44,2395,1534,346,461,2200,786,2200,461,2200,786,2200
"45","Cravings Buffet at Mirage",3.5,72,72,76,76,60,60,56,68,729,336,161,90,654,171,654,90,654,171,654
"46","Bayside Buffet at Mandalay Bay",3,68,72,76,72,40,40,60,56,605,199,186,65,531,130,531,65,531,130,531
"47","Pampas Churrascaria",3,68,76,80,72,40,64,76,76,653,195,257,44,586,81,586,44,586,81,586
"49","Trump Hotel",4,72,72,72,76,25,36,36,52,1086,676,153,141,945,238,945,141,945,238,945
"51","Lotus of Siam",4,80,60,80,72,44,40,60,64,2063,1510,153,455,1879,697,1879,455,1879,697,1879
"52","LVH - Las Vegas Hotel & Casino",2.5,56,56,76,68,64,64,68,60,938,226,410,80,845,154,845,80,845,154,845
"56","The Mirage",3.5,88,80,84,80,20,44,56,48,1172,675,174,191,1062,327,1062,191,1062,327,1062
"57","Burger Bar",4,80,68,72,76,0,36,36,44,1986,1268,197,413,1782,641,1782,413,1782,641,1782
